sample_id,k121_1708036_69,k121_15532_6,k121_686909_81,k121_1643710_7,k121_64041_9,k121_466249_1,k121_357241_1,k121_764851_3,k121_1229424_2,k121_580500_2,k121_1049150_7,k121_566136_4,k121_1638165_15,k121_1246460_4,k121_302252_1,k121_118679_6,k121_1488741_1,k121_731759_3,k121_1365491_2,k121_724130_3,k121_1299587_5,k121_1655639_2,k121_965840_2,k121_1643710_6,k121_1423813_2,k121_68825_2,k121_1273179_10,k121_1057301_2,k121_1046017_2,k121_1259309_2,k121_365816_2,k121_77453_2,k121_401236_1,k121_1589252_3,k121_997836_1,k121_671215_2,k121_500579_3,k121_1809809_1,k121_858589_5,k121_538461_3,k121_736202_1,k121_79954_69,k121_1519353_3,k121_58970_1,k121_1762969_1,k121_252136_5,k121_255520_3,k121_50166_2,k121_1686166_1,k121_660679_2,k121_1269806_2,k121_185419_2,k121_790124_1,k121_895379_1,k121_495553_2,k121_1494871_1,k121_1704035_1,k121_981513_1,k121_115983_6,k121_670656_5,k121_255479_3,k121_893075_2,k121_724130_4,k121_1330000_1,k121_1085118_2,k121_270992_7,k121_1292698_3,k121_178939_6,k121_1325277_1,k121_790052_6,k121_210290_1,k121_205890_1,k121_1602733_1,k121_667899_1,k121_816922_1,k121_50545_1,k121_797356_1,k121_780262_2,k121_109860_2,k121_1272857_1,k121_40257_1,k121_339048_1,k121_1082478_2,k121_238593_1,k121_1294233_4,k121_942206_1,k121_370213_1,k121_1290865_1,k121_42076_1,k121_900900_5,k121_1288254_1,k121_611494_1,k121_479849_1,k121_1282450_2,k121_1092380_2,k121_401896_1,k121_1956670_1,k121_438003_1,k121_1788674_3,k121_796109_1,k121_906279_2,k121_1361241_2
A01,7.615,2.653,5.909,1.905,4.676,8.831,7.717,0.065,0.26,0.319,0.23,0.946,0.193,0.076,7.086,0.324,0.119,0,0,0.199,0.277,0.491,0,0,0.257,2.354,0,3.976,1.387,1.223,0,0,0.334,0,0.868,5.55,9.428,0,3.26,2.837,2.165,54.219,3.421,0.404,4.682,2.232,0.126,0.232,0,0.347,0,2.088,0.946,4.497,0.542,0,1.005,5.489,46.917,0,3.388,0,0.058,0,0,64.118,0.735,1.022,0,0.47,0,0.383,0,0,0.391,0.394,0,0,0.125,9.473,4.246,8,3.196,0.678,2.388,1.027,1.945,1.475,3.308,0,2.06,2.338,0.185,0,0,0,2.8,0,0,4.633,0.42,0.957
A02,6.057,2.237,4.533,1.904,4.463,7.608,7.519,0.703,0.394,0.878,0.286,1.652,0.319,0.268,5.538,0.369,0.143,0,0,0,0.125,0.601,0,0.205,1.285,4.412,0.122,10.873,2.834,4.692,0,0,0.495,0,7.33,7.256,17.203,0,9.56,5.134,2.209,24.876,1.501,0.455,4.86,2.526,0,0,0,2.469,0.068,1.231,0.261,4.621,0.982,0,0.965,12.174,26.35,0.364,3.109,0,0,3.102,0,21.319,2.947,1.803,0,0,0.185,0,0.386,0.265,2.539,2.661,0,0,0.195,10.917,0.415,7.464,5.575,2.102,1.006,0,1.047,0.821,1.059,0,2.667,3.699,0,0,0,0.509,1.92,0.582,0.865,17.736,0.681,1.272
A03,5.112,1.165,4.423,1.255,4.246,5.615,5.917,0.137,0.081,0.061,0,0.656,0.079,0.197,3.673,0.09,0,0,0,0,0.217,0.38,0,0,0,0.038,0,0.512,1.483,1.223,0,0,0.267,0,0,1.251,1.864,0,1.944,2.036,2,12.438,4.423,0.255,2.804,0,0.252,0,0,0,0,1.18,0.729,0,0.967,0,0.943,1.733,5.43,0,1.528,0,0,0,0,8.661,0,1.849,0,0,0,0,0,0,0,0,0,0,0.351,4.098,0.83,7.185,2.358,1.211,0.78,0.366,1.625,1.24,1.69,0.169,0.976,0.262,0.119,0,0,0.191,2.488,0,0,1.122,0,0.204
A05,2.909,1.285,3.076,0.637,2.418,3.023,2.838,0.357,0.128,0.205,0.706,0,0.411,0.436,2.646,0.113,0,0,0,0,1.141,0,0,0,0.514,0.14,0,2.209,0.596,0.917,0,0,0.47,0,0.328,1.797,4.979,0,2.811,2.574,1.295,22.627,0.49,0.161,2.425,0.841,0.085,0,0,1.736,0,0.481,0.084,0.337,0.413,0,0.16,2.157,9.004,0,0.576,0.128,0,0.672,0,18.808,0.368,0.623,0,0,0,0,0,0,0,0,0,0,0,2.669,0,2.518,1.326,0,0.778,0,0,1.026,3.169,0,0.618,2.382,0.191,0,0,0,2.15,0,0.245,2.308,0,0.432
A06,6.257,2.233,6.231,1.249,4.447,9.04,6.245,0.455,0.198,0.422,0.192,0.699,0.094,0.408,7.087,0,0.401,0,0,0.061,0.424,0.487,0,0,0.514,1.89,0.303,2.642,0.594,2.293,0,0,0.673,0,1.311,4.705,6.591,0,7.829,2.205,2.084,16.532,3.651,0.298,5.436,1.334,0.156,0,0,0.347,0,1.081,1.004,2.549,0.527,0.059,1.046,5.228,21.964,0,3.122,0,0,0.365,0,28.554,0,2.359,0,0,0,0,0,0,0.648,1.941,0,0,0.332,10.15,1.967,8.999,2.817,0,1.746,0.556,1.151,1.551,0,0,2.591,2.385,0.195,0,0,0,1.503,0,0.318,9.811,0.42,1.352
A07,7.222,2.169,5.884,2.331,5.92,10.724,10.323,0.572,0.192,0.223,0.061,1.363,0.391,0.693,10.252,0.254,0.106,0,0,0,0.673,0.54,0,0,0,0.172,0.139,0.595,0,0,0,0,0.245,0.077,0,0.331,3.564,0,1.014,4.71,3.827,41.804,3.391,0.756,5.84,0.096,0,0.561,0,0,0,2.37,0.622,0,0.839,0,2.255,1.826,42.723,0,3.402,0,0,0,0,37.027,0,1.722,0,0,0,0,0,0,0,0,0,0.551,0.951,10.262,5.757,10.027,2.768,0,3.451,0.807,2.307,1.528,3.18,0,0.699,4.915,0.165,0,0,0,3.303,0,0.462,4.767,0,0.651
A08,10.008,2.685,8.383,2.973,7.551,9.255,11.617,0.794,0.276,0.486,0,2.243,0,1.635,12.17,0.735,0,0,0,0.552,0.488,0.354,0,0.216,0.536,7.288,0.234,15.079,3.383,9.202,0,0,0.591,0.145,7.737,9.225,23.237,0,10.49,7.939,1.777,76.558,2.518,0.749,7.118,8.253,0,0.207,0,3.007,0,1.595,0.605,12.993,0.544,0,2.282,17.772,103.353,0,3.052,0,0.36,3.283,0,104.759,2.517,3.404,0,0,0,1.939,0,0.337,0,1.209,0,0,1.057,18.695,3.433,11.574,4.149,1.751,3.226,0.572,0.957,1.354,2.008,0,5.288,7.924,0.901,0,0.223,0.803,2.472,0.551,0.802,12.583,3.672,0.676
A09,11.309,3.308,9.475,2.515,8.161,16.304,11.951,0.576,0.04,0.323,0.207,1.117,0.263,0.996,16.027,0.061,0,0,0,0.162,0.497,0.122,0.194,0.076,0,0.541,0.377,0,0,0.917,0,0,0.731,0,0.243,0.128,5.104,0,0.101,5.26,2.644,86.493,8.819,1.052,8.055,0,0.057,0.557,0,0,0,3.406,2.009,0.335,1.548,0,2.671,1.748,63.223,0,4.84,0,0,1.095,0,76.827,0,2.271,0,0,0,0,0,0,0,0,0,0,0.432,15.087,3.438,17.504,2.403,0.418,2.73,0.596,3.214,2.657,0,0.768,6.567,4.254,1.338,0,0,0,4.152,0,1.422,0,0,1.571
A10,8.293,3.319,6.159,2.074,6.317,10.661,10.462,0.607,0.145,0.47,0.103,3.504,0.376,0.507,9.302,0.318,0.072,0.065,0,0.24,0.253,0.843,0,0.091,1.762,4.827,0,9.104,1.343,3.211,0,0,0.246,0,4.662,12.682,14.017,0,2.964,4.431,1.758,78.84,3.933,1.042,5.798,5.4,0,0,0,0.694,0.835,3.581,0,3.698,1.203,0.075,2.321,14.742,79.694,0.724,1.941,0,0,3.207,0,82.789,1.103,1.978,0,0,0.188,0,0,0,1.172,0.394,0,0,0.58,15.078,2.485,10.06,5.139,0.388,2.354,0.43,1.456,2.611,0.469,0.43,4.052,3.998,0.388,0,0.414,0,2.985,0,1.157,5.25,1.261,1.58
A11,10.074,2.859,7.115,2.375,6.056,10.808,9.58,0.36,0.22,0.99,0.585,1.96,0.096,0.551,10.549,0.335,0.226,0,0,0.198,0.117,0.366,0.076,0.097,1.799,0.176,0.111,2.871,0.744,1.07,0,0.145,0.904,0.16,2.226,4.939,11.002,0,3.69,3.268,3.812,37.887,5.454,1.302,6.492,0.47,0.148,0.205,0,0.312,0,2.678,0.422,3.048,0.512,0,2.919,5.408,33.441,0,2.096,0,0,2.345,0,44.011,0.551,1.586,0,0,0,0.346,0,0.193,0.685,1.192,0,0,0.493,9.351,3.917,15.174,4.003,0.315,1.764,0.836,2.208,1.621,1.839,0.948,2.934,4.155,0.583,0,0,0,3.478,0,0.273,2.486,0.933,0.37
