sample_id,type,condition,experiment,day
A17,Wastewater,BT_WW,1,7
A18,Wastewater,BT_WW,1,14
A19,Wastewater,BT_WW,1,21
A20,Wastewater,BT_WW,1,28
A01,Biofilm,WW30,1,28
A02,Biofilm,WW80,1,28
A03,Biofilm,WW10,1,28
A04,Biofilm,WW00,1,28
A05,Biofilm,WW10,1,28
A06,Biofilm,WW30,1,28
A07,Biofilm,WW00,1,28
A08,Biofilm,WW80,1,28
A09,Biofilm,WW00,1,28
A10,Biofilm,WW80,1,28
A11,Biofilm,WW30,1,28
A12,Biofilm,WW10,1,28
A13,Biofilm,WW80,1,28
A14,Biofilm,WW10,1,28
A15,Biofilm,WW00,1,28
A16,Biofilm,WW30,1,28
C141,Biofilm,WW30,2,29
C142,Biofilm,WW80,2,29
C143,Biofilm,WW80UF,2,29
C144,Biofilm,WW00,2,29
C145,Biofilm,WW30UF,2,29
C146,Biofilm,WW30,2,29
C147,Biofilm,WW00,2,29
C148,Biofilm,WW80UF,2,29
C149,Biofilm,WW80UF,2,29
C150,Biofilm,WW80,2,29
C151,Biofilm,WW30,2,29
C152,Biofilm,WW30UF,2,29
C153,Biofilm,WW80,2,29
C154,Biofilm,WW30UF,2,29
C155,Biofilm,WW00,2,29
C156,Biofilm,WW80UF,2,29
C157,Biofilm,WW30,2,29
C158,Biofilm,WW00,2,29
C159,Biofilm,WW80,2,29
C160,Biofilm,WW30UF,2,29
C161,Wastewater,BT_WW,2,2
C162,Wastewater,BT_WW,2,4
C163,Wastewater,BT_WW,2,7
C164,Wastewater,BT_WW,2,9
C165,Wastewater,BT_WW,2,11
C166,Wastewater,BT_WW,2,14
C167,Wastewater,BT_WW,2,16
C168,Wastewater,BT_WW,2,18
C169,Wastewater,BT_WW,2,21
C170,Wastewater,BT_WW,2,23
C171,Wastewater,BT_WW,2,25
C172,Wastewater,BT_WW,2,28
C173,River_water,BT_CB,2,2
C174,River_water,BT_CB,2,4
C175,River_water,BT_CB,2,7
C176,River_water,BT_CB,2,9
C177,River_water,BT_CB,2,11
C178,River_water,BT_CB,2,14
C179,River_water,BT_CB,2,16
C180,River_water,BT_CB,2,18
C181,River_water,BT_CB,2,21
C182,River_water,BT_CB,2,23
C183,River_water,BT_CB,2,25
C184,River_water,BT_CB,2,28
C197,Filtrated_wastewater,BT_UF,2,2
C198,Filtrated_wastewater,BT_UF,2,4
C199,Filtrated_wastewater,BT_UF,2,7
C200,Filtrated_wastewater,BT_UF,2,9
C201,Filtrated_wastewater,BT_UF,2,11
C202,Filtrated_wastewater,BT_UF,2,14
C203,Filtrated_wastewater,BT_UF,2,16
C204,Filtrated_wastewater,BT_UF,2,18
C205,Filtrated_wastewater,BT_UF,2,21
C206,Filtrated_wastewater,BT_UF,2,23
C207,Filtrated_wastewater,BT_UF,2,25
C208,Filtrated_wastewater,BT_UF,2,28
