#taxpath	A01.bins	A02.bins	A03.bins	A05.bins	A06.bins	A07.bins	A08.bins	A09.bins	A10.bins	A11.bins	A12.bins	A13.bins	A14.bins	A15.bins	A16.bins	A17.bins	A18.bins	A19.bins	A20.bins	C141.bins	C142.bins	C143.bins	C144.bins	C145.bins	C146.bins	C147.bins	C148.bins	C149.bins	C150.bins	C151.bins	C152.bins	C153.bins	C154.bins	C155.bins	C156.bins	C157.bins	C158.bins	C159.bins	C160.bins	C161.bins	C162.bins	C163.bins	C164.bins	C165.bins	C166.bins	C167.bins	C168.bins	C169.bins	C170.bins	C171.bins	C172.bins	C173.bins	C174.bins	C175.bins	C176.bins	C177.bins	C178.bins	C179.bins	C180.bins	C181.bins	C182.bins	C183.bins	C184.bins	C197.bins	C198.bins	C199.bins	C200.bins	C201.bins	C202.bins	C203.bins	C204.bins	C205.bins	C206.bins	C207.bins	C208.bins
root__Root;domain__Eukaryota;phylum__unknown;class__unknown	69	68	70	45	75	50	30	35	68	71	73	35	33	77	50	6	2	6	20	31	36	16	25	28	31	16	16	22	11	29	3	0	49	20	23	3	21	5	33	14	5	3	15	8	24	22	11	11	10	8	2	42	26	49	88	83	118	66	56	83	73	51	2	14	0	0	6	4	0	2	3	5	3	2	15
root__Root;domain__Eukaryota;phylum__unknown;class__Xanthophyceae	2	0	0	0	1	2	0	1	0	0	4	0	0	3	0	0	1	0	0	40	35	60	60	65	96	76	41	73	26	39	17	3	91	63	42	4	116	0	97	0	0	0	0	0	0	0	0	0	0	0	0	11	4	8	11	11	8	25	3	5	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Ulvophyceae	39	81	177	124	256	965	2	173	5	1033	809	1	191	268	85	0	0	0	0	111	125	72	272	187	166	173	84	56	82	101	59	20	298	257	70	16	373	10	165	0	0	0	0	0	0	0	0	0	0	0	0	41	18	23	53	36	60	45	12	18	5	16	3	0	0	0	0	2	0	2	2	0	7	2	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea	112	316	78	96	113	207	282	133	241	133	114	220	42	116	145	33	60	141	189	616	664	252	177	301	539	314	222	259	1043	542	71	155	368	407	420	42	355	67	288	172	203	283	499	674	1063	951	751	1082	1408	652	117	18	19	20	38	60	75	79	26	11	20	12	2	10	4	3	47	97	3	39	67	187	191	635	305
root__Root;domain__Eukaryota;phylum__unknown;class__Trebouxiophyceae	8	2	3	4	7	8	1	4	2	13	11	1	2	4	2	0	0	0	0	92	99	30	70	96	195	95	111	182	124	167	32	15	218	120	136	9	122	8	131	2	0	1	0	5	1	3	0	0	2	0	0	120	27	24	35	25	40	58	24	35	24	29	6	0	0	0	0	3	0	8	5	6	3	0	4
root__Root;domain__Eukaryota;phylum__unknown;class__Raphidophyceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Prasinophytae	0	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Phaeothamniophyceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	8	4	1	0	0	0	1	0	0	0	1	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Phaeophyceae	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	2	1	4	3	4	1	2	2	0	2	0	0	4	3	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Pedinophyceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
