#taxpath	A01.bins	A02.bins	A03.bins	A05.bins	A06.bins	A07.bins	A08.bins	A09.bins	A10.bins	A11.bins	A12.bins	A13.bins	A14.bins	A15.bins	A16.bins	A17.bins	A18.bins	A19.bins	A20.bins	C141.bins	C142.bins	C143.bins	C144.bins	C145.bins	C146.bins	C147.bins	C148.bins	C149.bins	C150.bins	C151.bins	C152.bins	C153.bins	C154.bins	C155.bins	C156.bins	C157.bins	C158.bins	C159.bins	C160.bins	C161.bins	C162.bins	C163.bins	C164.bins	C165.bins	C166.bins	C167.bins	C168.bins	C169.bins	C170.bins	C171.bins	C172.bins	C173.bins	C174.bins	C175.bins	C176.bins	C177.bins	C178.bins	C179.bins	C180.bins	C181.bins	C182.bins	C183.bins	C184.bins	C197.bins	C198.bins	C199.bins	C200.bins	C201.bins	C202.bins	C203.bins	C204.bins	C205.bins	C206.bins	C207.bins	C208.bins
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown	69	66	66	44	72	45	30	33	66	68	70	34	33	71	49	6	2	5	20	30	35	13	13	24	30	11	15	21	11	27	3	0	41	17	23	3	16	5	22	12	4	1	10	7	21	21	10	9	8	7	2	25	21	18	33	48	107	59	13	35	24	18	1	14	0	0	6	4	0	2	1	1	1	2	15
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__Glaucophyta	0	2	1	1	3	5	0	2	2	2	2	0	0	6	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Jakobida;family__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Eccrinales;family__unknown	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Cryptomonadales;family__unknown	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	3	11	4	1	4	1	1	0	0	0	0	8	3	0	0	2	0	11	2	1	2	5	1	3	1	1	2	0	1	0	17	5	30	54	35	11	7	42	48	49	33	1	0	0	0	0	0	0	0	2	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Amb-18S-504;family__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Xanthophyceae;order__unknown;family__unknown	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	21	23	21	37	54	30	19	22	11	18	7	1	40	32	25	4	32	0	36	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	2	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Xanthophyceae;order__Vaucheriales;family__unknown	0	0	0	0	0	2	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	6	5	19	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Xanthophyceae;order__Tribonematales;family__unknown	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	14	5	32	29	17	23	22	13	40	12	13	4	1	34	20	12	0	57	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	5	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Xanthophyceae;order__Mischococcales;family__unknown	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	4	7	11	12	2	2	3	4	1	0	0	4	1	0	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
