sample,aminoglycoside,aminoglycoside:aminocoumarin,antibacterial_free_fatty_acids,bacitracin,beta-lactam,bicyclomycin,diaminopyrimidine,fluoroquinolone,"fluoroquinolone,multidrug","fluoroquinolone/fluoroquinolone,multidrug",fluoroquinolone/multidrug,"fluoroquinolone/multidrug/fluoroquinolone,multidrug",fosfomycin,fosmidomycin,fusidic-acid,glycopeptide,MLS,multidrug,"multidrug/fluoroquinolone,multidrug",mupirocin,nitroimidazole,nucleoside,oxazolidinone,peptide,"peptide,polymyxin","peptide/peptide,polymyxin",peptide/polymyxin,"peptide/polymyxin/peptide,polymyxin",phenicol,pleuromutilin,polymyxin,polymyxin/peptide,"polymyxin/peptide,polymyxin","polymyxin/peptide/peptide,polymyxin",rifamycin,sulfonamide,tetracenomycin_C,tetracycline,triclosan,unclassified
A01,226,4,0,1209,586,0,14,30,0,0,0,0,0,404,0,8,334,7503,12,5,89,0,0,100,0,0,0,0,14,8,0,0,23,0,83,57,0,62,19,130
A02,349,4,0,982,527,0,22,37,0,0,0,0,3,302,0,15,1001,7383,6,0,103,1,0,155,17,0,0,0,34,6,0,0,0,0,122,106,0,79,3,180
A03,144,0,0,961,183,0,17,29,0,0,0,0,4,194,0,1,218,5958,7,1,76,0,0,87,0,0,0,26,15,4,0,0,0,0,25,15,0,15,11,151
A05,109,6,1,590,222,0,12,13,0,0,0,0,0,131,0,3,172,3476,5,4,53,0,0,70,0,0,0,0,14,3,0,0,0,20,23,23,0,18,4,86
A06,234,1,0,1301,362,0,19,43,0,0,0,0,6,402,0,9,422,9088,0,3,123,0,0,131,0,0,0,22,9,5,0,0,0,0,45,45,0,32,16,200
A07,277,5,0,1763,373,0,36,68,0,0,0,0,5,540,0,3,453,11274,0,1,133,0,0,132,0,0,0,37,15,7,0,0,0,0,56,18,0,22,20,320
A08,564,2,8,2022,1173,0,13,40,0,0,0,0,6,1192,0,22,1216,14552,3,2,222,0,0,306,23,0,0,0,58,14,0,0,0,0,137,148,0,140,11,297
A09,344,6,4,2779,629,0,40,68,0,0,0,0,10,1137,0,4,702,17539,0,4,176,0,0,290,0,0,0,0,26,3,0,0,0,34,64,28,0,84,12,468
A10,475,3,1,1906,907,0,15,49,0,0,0,0,8,1062,0,2,887,13933,7,0,159,0,0,282,0,0,0,0,29,15,0,0,18,0,103,113,0,118,28,270
A11,277,4,2,1714,420,0,21,43,0,0,0,0,1,648,0,3,641,12462,0,0,146,0,0,156,0,0,0,0,35,7,0,0,0,19,62,56,0,52,36,301
A12,299,4,1,2597,919,0,25,52,0,0,0,0,2,1162,0,2,584,16618,8,4,167,3,0,282,0,0,0,0,39,6,0,0,32,0,85,23,0,78,24,374
A13,440,3,9,1629,829,0,15,51,0,0,0,0,6,861,0,5,782,12051,6,4,154,0,0,289,0,0,0,0,40,19,0,0,25,0,103,106,0,101,17,261
A14,147,2,0,894,152,0,13,25,0,0,0,0,1,270,0,1,232,5677,0,1,58,0,0,59,0,0,0,0,5,1,9,0,0,0,21,15,0,15,15,160
A15,269,4,1,2245,403,0,34,69,0,0,0,0,3,771,0,1,545,13696,0,2,116,0,0,217,0,15,0,0,28,9,0,0,0,0,42,20,0,28,12,348
A16,308,1,1,2020,563,0,24,51,0,0,0,0,6,804,0,8,600,12300,0,0,115,0,0,185,21,0,0,0,22,2,0,0,0,0,83,48,0,62,15,284
A17,642,0,7,2120,858,0,21,66,0,0,0,0,5,487,0,62,869,13350,0,3,329,0,0,476,26,0,0,0,24,11,0,0,0,0,134,255,0,133,16,494
A18,785,0,4,2339,983,0,45,107,0,0,0,0,7,574,0,44,1122,15827,9,6,420,0,0,476,0,0,0,0,25,5,0,0,18,0,143,302,0,157,14,608
A19,625,0,5,2261,827,0,24,74,0,0,0,0,10,508,0,95,914,14721,0,0,376,1,0,554,0,0,0,0,21,11,0,0,0,13,242,221,0,99,10,493
A20,626,0,6,1951,952,0,21,62,0,0,0,0,3,460,0,71,1034,12872,0,1,387,0,0,474,0,0,0,0,23,15,0,0,29,0,254,254,0,137,16,432
C141,193,0,1,828,564,0,11,167,0,0,0,0,0,334,0,70,356,10798,7,0,73,0,0,412,0,0,0,11,21,4,0,0,0,0,284,19,1,277,13,183
C142,158,2,0,616,906,0,8,106,0,0,0,0,3,182,0,56,279,7145,0,2,47,1,0,314,0,0,0,0,11,5,13,0,0,0,201,9,0,172,4,120
C143,128,1,2,932,50,0,5,40,0,0,0,0,0,228,0,11,191,4746,0,0,49,0,0,96,0,0,0,0,34,3,0,0,45,0,23,33,0,31,8,82
C144,169,0,0,1238,56,0,10,52,0,0,0,0,6,292,0,43,337,7468,4,2,85,0,0,119,0,0,0,0,7,3,0,0,9,0,101,14,0,52,18,158
C145,169,2,1,1460,40,0,13,42,0,0,0,0,2,330,0,72,391,8327,0,0,87,0,1,109,26,0,0,0,9,7,0,0,0,0,83,20,2,75,23,162
C146,149,0,0,744,605,0,16,95,0,0,0,0,8,234,0,70,283,8788,0,1,72,0,0,311,19,0,0,0,17,2,0,0,0,0,201,25,0,207,14,188
C147,161,0,2,1188,41,0,3,44,0,0,0,0,1,219,0,42,280,6525,0,0,71,0,0,107,6,0,0,0,6,6,0,0,0,0,60,17,0,44,9,141
C148,249,3,2,1947,76,0,5,68,0,0,0,0,1,525,0,21,531,10539,0,0,126,0,0,199,0,0,0,0,61,2,0,0,75,0,63,58,1,56,14,279
C149,180,0,1,1241,72,0,2,48,0,0,0,0,1,446,0,20,433,8179,0,6,89,0,0,139,0,0,0,0,46,8,0,0,68,0,80,40,0,42,6,155
