#taxpath	A01.bins	A02.bins	A03.bins	A05.bins	A06.bins	A07.bins	A08.bins	A09.bins	A10.bins	A11.bins	A12.bins	A13.bins	A14.bins	A15.bins	A16.bins	A17.bins	A18.bins	A19.bins	A20.bins	C141.bins	C142.bins	C143.bins	C144.bins	C145.bins	C146.bins	C147.bins	C148.bins	C149.bins	C150.bins	C151.bins	C152.bins	C153.bins	C154.bins	C155.bins	C156.bins	C157.bins	C158.bins	C159.bins	C160.bins	C161.bins	C162.bins	C163.bins	C164.bins	C165.bins	C166.bins	C167.bins	C168.bins	C169.bins	C170.bins	C171.bins	C172.bins	C173.bins	C174.bins	C175.bins	C176.bins	C177.bins	C178.bins	C179.bins	C180.bins	C181.bins	C182.bins	C183.bins	C184.bins	C197.bins	C198.bins	C199.bins	C200.bins	C201.bins	C202.bins	C203.bins	C204.bins	C205.bins	C206.bins	C207.bins	C208.bins
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__unknown	56	43	57	38	54	34	22	27	57	60	60	23	30	56	38	4	0	2	7	17	14	8	10	17	18	8	14	20	3	11	1	0	31	8	19	1	9	2	16	8	3	1	4	3	8	7	2	2	0	1	1	9	3	3	5	21	20	18	6	10	6	6	0	0	0	0	0	2	0	1	0	1	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Telonema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	2	3	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Mycamoeba	1	1	4	4	2	4	3	2	1	0	0	2	0	0	0	0	0	0	0	3	5	2	0	2	2	0	0	0	1	1	1	0	1	0	1	0	0	3	0	0	1	0	2	2	3	4	3	2	4	1	0	9	18	13	22	14	70	32	3	22	11	9	0	0	0	0	6	2	0	1	0	0	1	2	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Ischnamoeba	11	13	0	2	6	2	4	0	6	3	4	9	0	3	7	2	2	3	13	10	15	0	2	3	5	3	0	0	5	14	1	0	6	6	0	2	4	0	2	4	0	0	3	2	10	9	5	5	4	5	1	2	0	0	0	0	5	1	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Goniomonas	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	4	10	10	5	1	3	6	1	1	0	0	0	0	0	0	0	0	0	0	0	15
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Dictyamoeba	1	8	4	0	6	4	1	3	2	2	4	0	1	9	4	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Bolidomonas	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	2	1	0	0	3	3	3	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__Glaucophyta;genus__Glaucocystis	0	2	1	1	3	5	0	2	2	2	2	0	0	6	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Jakobida;family__unknown;genus__uncultured	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Eccrinales;family__unknown;genus__Enterobryus	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Cryptomonadales;family__unknown;genus__unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Cryptomonadales;family__unknown;genus__Teleaulax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
