#taxpath	A01.bins	A02.bins	A03.bins	A05.bins	A06.bins	A07.bins	A08.bins	A09.bins	A10.bins	A11.bins	A12.bins	A13.bins	A14.bins	A15.bins	A16.bins	A17.bins	A18.bins	A19.bins	A20.bins	C141.bins	C142.bins	C143.bins	C144.bins	C145.bins	C146.bins	C147.bins	C148.bins	C149.bins	C150.bins	C151.bins	C152.bins	C153.bins	C154.bins	C155.bins	C156.bins	C157.bins	C158.bins	C159.bins	C160.bins	C161.bins	C162.bins	C163.bins	C164.bins	C165.bins	C166.bins	C167.bins	C168.bins	C169.bins	C170.bins	C171.bins	C172.bins	C173.bins	C174.bins	C175.bins	C176.bins	C177.bins	C178.bins	C179.bins	C180.bins	C181.bins	C182.bins	C183.bins	C184.bins	C197.bins	C198.bins	C199.bins	C200.bins	C201.bins	C202.bins	C203.bins	C204.bins	C205.bins	C206.bins	C207.bins	C208.bins
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown	69	68	67	45	75	50	30	35	68	70	72	34	33	77	50	6	2	5	20	30	35	13	14	24	30	11	15	21	11	27	3	0	41	17	23	3	16	5	22	12	4	1	10	7	21	21	10	9	10	7	2	25	21	18	33	48	107	59	13	35	24	18	1	14	0	0	6	4	0	2	1	5	3	2	15
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Jakobida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Eccrinales	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Cryptomonadales	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	3	11	4	1	4	1	1	0	0	0	0	8	3	0	0	2	0	11	2	1	2	5	1	3	1	1	2	0	1	0	17	5	30	54	35	11	7	42	48	49	33	1	0	0	0	0	0	0	0	2	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Amb-18S-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Xanthophyceae;order__unknown	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	21	23	21	37	54	30	19	22	11	18	7	1	40	32	25	4	32	0	36	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	2	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Xanthophyceae;order__Vaucheriales	0	0	0	0	0	2	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	1	6	5	19	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Xanthophyceae;order__Tribonematales	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	14	5	32	29	17	23	22	13	40	12	13	4	1	34	20	12	0	57	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	0	5	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Xanthophyceae;order__Mischococcales	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	4	7	11	12	2	2	3	4	1	0	0	4	1	0	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Ulvophyceae;order__unknown	39	81	177	124	256	965	2	173	5	1033	809	1	191	268	85	0	0	0	0	111	125	72	272	187	166	173	84	56	82	101	59	20	298	257	70	16	373	10	165	0	0	0	0	0	0	0	0	0	0	0	0	41	18	23	53	36	60	45	12	18	5	16	3	0	0	0	0	2	0	2	2	0	7	2	0
