"","sample","sample_perc","args","read_count","p.adj","lab","sample_type","experiment"
"1","A01","WW30","aminoglycoside",0.0326599812496,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"2","A01","WW30","aminoglycoside_aminocoumarin",0.000194792397995,0.0142285714285714,"Kruskal-Wallis: *","Biofilm",1
"3","A01","WW30","antibacterial_free_fatty_acids",0,0.00014375,"Kruskal-Wallis: ***","Biofilm",1
"4","A01","WW30","beta_lactam",0.0448159740275,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"5","A01","WW30","diaminopyrimidine",0.00399449282812,0.01232,"Kruskal-Wallis: *","Biofilm",1
"6","A01","WW30","fluoroquinolone",0.00130655762061,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"7","A01","WW30","fosfomycin",0,0.00507368421052632,"Kruskal-Wallis: **","Biofilm",1
"8","A01","WW30","fosmidomycin",0.0219293480836,0.0185454545454545,"Kruskal-Wallis: *","Biofilm",1
"9","A01","WW30","glycopeptide",0.00076741487831,3.264e-07,"Kruskal-Wallis: ****","Biofilm",1
"10","A01","WW30","mls",0.0350621722231,0.000416470588235294,"Kruskal-Wallis: ***","Biofilm",1
"11","A01","WW30","multidrug",0.732366233012,4.57333333333333e-07,"Kruskal-Wallis: ****","Biofilm",1
"12","A01","WW30","nitroimidazole",0.00340326082632,0.000100923076923077,"Kruskal-Wallis: ***","Biofilm",1
"13","A01","WW30","nucleoside",0,0.000139733333333333,"Kruskal-Wallis: ***","Biofilm",1
"14","A01","WW30","oxazolidinone",0,0.00100666666666667,"Kruskal-Wallis: **","Biofilm",1
"15","A01","WW30","peptide",0.00406856151206,1.72e-07,"Kruskal-Wallis: ****","Biofilm",1
"16","A01","WW30","phenicol",0.000771213961866,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"17","A01","WW30","pleuromutilin",0.00027475347495,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"18","A01","WW30","polymyxin_peptide_polymyxin",0.000773211063191,0.019304347826087,"Kruskal-Wallis: *","Biofilm",1
"19","A01","WW30","rifamycin",0.0162032246675,2.14e-06,"Kruskal-Wallis: ****","Biofilm",1
"20","A01","WW30","sulfonamide",0.00448246216907,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"21","A01","WW30","tetracenomycin_c",0,0.0213333333333333,"Kruskal-Wallis: *","Biofilm",1
"22","A01","WW30","tetracycline",0.00337362335257,2.948e-08,"Kruskal-Wallis: ****","Biofilm",1
"23","A01","WW30","triclosan",0.00087727302479,3.2e-07,"Kruskal-Wallis: ****","Biofilm",1
"24","A01","WW30","unclassified",0.0147609902614,1.29e-05,"Kruskal-Wallis: ****","Biofilm",1
"25","A02","WW80","aminoglycoside",0.0520664017271,2.20363636363636e-06,"Kruskal-Wallis: ****","Biofilm",1
"26","A02","WW80","aminoglycoside_aminocoumarin",0.000201092859648,0.0142285714285714,"Kruskal-Wallis: *","Biofilm",1
"27","A02","WW80","antibacterial_free_fatty_acids",0,0.00014375,"Kruskal-Wallis: ***","Biofilm",1
