"","sample_id","condition","contig","average_coverage","p_adj","lab","normalized_reads","medium","experiment","gene_function","gene_type"
"1","A01","WW30","k121_68825_2",2.354,0.048783,"Kruskal-Wallis: *",0.0193997311134635,"Biofilm",1,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"2","A01","WW30","k121_1259309_2",1.223,0.0415783333333333,"Kruskal-Wallis: *",0.010078959707632,"Biofilm",1,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"3","A01","WW30","k121_671215_2",5.55,0.0415783333333333,"Kruskal-Wallis: *",0.0457385334238412,"Biofilm",1,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"4","A01","WW30","k121_858589_5",3.26,0.005353,"Kruskal-Wallis: **",0.0268662376507608,"Biofilm",1,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"5","A01","WW30","k121_1519353_3",3.421,0.0415783333333333,"Kruskal-Wallis: *",0.0281930671789119,"Biofilm",1,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"6","A01","WW30","k121_252136_5",2.232,0.005353,"Kruskal-Wallis: **",0.0183943074958583,"Biofilm",1,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"7","A01","WW30","k121_660679_2",0.347,0.048783,"Kruskal-Wallis: *",0.00285968848613926,"Biofilm",1,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"8","A01","WW30","k121_1269806_2",0,0.048783,"Kruskal-Wallis: *",0,"Biofilm",1,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"9","A01","WW30","k121_895379_1",4.497,0.0333973333333333,"Kruskal-Wallis: *",0.0370605738391016,"Biofilm",1,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"10","A01","WW30","k121_906279_2",0.42,0.0467485714285714,"Kruskal-Wallis: *",0.00346129442126366,"Biofilm",1,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"11","A02","WW80","k121_68825_2",4.412,0.048783,"Kruskal-Wallis: *",0.0379148874369553,"Biofilm",1,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"12","A02","WW80","k121_1259309_2",4.692,0.0415783333333333,"Kruskal-Wallis: *",0.0403210906287839,"Biofilm",1,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"13","A02","WW80","k121_671215_2",7.256,0.0415783333333333,"Kruskal-Wallis: *",0.0623550369996709,"Biofilm",1,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"14","A02","WW80","k121_858589_5",9.56,0.005353,"Kruskal-Wallis: **",0.0821546518352885,"Biofilm",1,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"15","A02","WW80","k121_1519353_3",1.501,0.0415783333333333,"Kruskal-Wallis: *",0.0128989678247665,"Biofilm",1,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"16","A02","WW80","k121_252136_5",2.526,0.005353,"Kruskal-Wallis: **",0.0217073902234246,"Biofilm",1,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
"17","A02","WW80","k121_660679_2",2.469,0.048783,"Kruskal-Wallis: *",0.0212175560022309,"Biofilm",1,"oxacillinase. OXA-2 Curated. Encoded by gene blaOXA-2. ARO","Other"
"18","A02","WW80","k121_1269806_2",0.068,0.048783,"Kruskal-Wallis: *",0.000584363632301215,"Biofilm",1,"extended-spectrum beta-lactamase BEL-2. Encoded by gene ACV","Beta-lactam"
"19","A02","WW80","k121_895379_1",4.621,0.0333973333333333,"Kruskal-Wallis: *",0.0397109462479988,"Biofilm",1,"StrB. Encoded by gene strB. Streptomycin phosphotransfera","Other"
"20","A02","WW80","k121_906279_2",0.681,0.0467485714285714,"Kruskal-Wallis: *",0.00585222990584011,"Biofilm",1,"multidrug efflux transporter protein. Low similarity wi","Multidrug"
"21","A03","WW10","k121_68825_2",0.038,0.048783,"Kruskal-Wallis: *",0.000381889175198573,"Biofilm",1,"aminoglycoside-modifying enzyme. Encoded by gene aadA6. aa","Aminoglycoside"
"22","A03","WW10","k121_1259309_2",1.223,0.0415783333333333,"Kruskal-Wallis: *",0.012290801612312,"Biofilm",1,"StrA. APH(3'')-Ib Curated. Streptomycin resistance. Encode","Other"
"23","A03","WW10","k121_671215_2",1.251,0.0415783333333333,"Kruskal-Wallis: *",0.0125721936361425,"Biofilm",1,"Mph(A) family macrolide 2'-phosphotransferase ","Macrolide-Lincomide-Streptogarmin"
"24","A03","WW10","k121_858589_5",1.944,0.005353,"Kruskal-Wallis: **",0.0195366462259481,"Biofilm",1,"Class-A beta-lactamase [Pseudomonas aeruginosa].","Beta-lactam"
"25","A03","WW10","k121_1519353_3",4.423,0.0415783333333333,"Kruskal-Wallis: *",0.0444498900500866,"Biofilm",1,"Undecaprenyl-diphosphatase [Methylibium petroleiphilum PM1].","Other"
"26","A03","WW10","k121_252136_5",0,0.005353,"Kruskal-Wallis: **",0,"Biofilm",1,"beta-lactamase OXA-4. Confers resistance to penicillins an","Beta-lactam"
