Name,Average.coverage,Reference.length
k121_1708036_69,17.950,3180
k121_15532_6,5.200,3180
k121_686909_81,14.950,3165
k121_1643710_7,4.945,3111
k121_64041_9,11.888,3054
k121_466249_1,22.976,2379
k121_357241_1,17.540,2232
k121_764851_3,4.557,2001
k121_1229424_2,0.162,1974
k121_580500_2,0.115,1920
k121_1049150_7,0.061,1920
k121_566136_4,1.506,1644
k121_1638165_15,0.220,1527
k121_1246460_4,1.409,1491
k121_302252_1,23.549,1326
k121_118679_6,0.303,1305
k121_1488741_1,23.968,1296
k121_731759_3,0.000,1239
k121_1365491_2,0.000,1218
k121_724130_3,0.187,1215
k121_1299587_5,1.206,1188
k121_1655639_2,0.254,1176
k121_965840_2,0.334,1176
k121_1643710_6,0.114,1170
k121_1423813_2,0.051,1167
k121_68825_2,1.613,1068
k121_1273179_10,16.895,1062
k121_1057301_2,5.616,1008
k121_1046017_2,0.589,1005
k121_1259309_2,32.794,981
k121_365816_2,0.000,966
k121_77453_2,0.000,942
k121_401236_1,1.330,930
k121_1589252_3,6.192,927
k121_997836_1,0.631,915
k121_671215_2,0.424,906
k121_500579_3,107.407,897
k121_1809809_1,0.000,891
k121_858589_5,0.164,888
k121_538461_3,6.115,885
k121_736202_1,2.542,885
k121_79954_69,5.310,882
k121_1519353_3,4.703,882
k121_58970_1,4.461,882
k121_1762969_1,9.242,876
k121_252136_5,0.936,876
k121_255520_3,0.000,870
k121_50166_2,23.164,870
k121_1686166_1,0.000,867
k121_660679_2,0.000,864
k121_1269806_2,0.144,852
k121_185419_2,5.745,852
k121_790124_1,1.861,849
k121_895379_1,1.896,849
k121_495553_2,0.437,849
k121_1494871_1,0.000,843
k121_1704035_1,8.051,831
k121_981513_1,33.831,834
k121_115983_6,0.668,828
k121_670656_5,0.000,825
k121_255479_3,4.114,825
k121_893075_2,0.000,825
k121_724130_4,0.989,822
k121_1330000_1,2.007,822
k121_1085118_2,0.000,819
k121_270992_7,1.827,816
k121_1292698_3,0.131,816
k121_178939_6,4.725,816
k121_1325277_1,0.000,804
k121_790052_6,0.000,804
k121_210290_1,0.000,798
k121_205890_1,0.766,783
k121_1602733_1,0.000,777
k121_667899_1,0.366,771
k121_816922_1,0.000,768
k121_50545_1,1.556,762
k121_797356_1,0.000,744
k121_780262_2,0.000,741
k121_109860_2,1.003,738
k121_1272857_1,39.525,732
k121_40257_1,0.000,723
k121_339048_1,14.405,714
k121_1082478_2,2.991,699
k121_238593_1,0.920,696
k121_1294233_4,4.291,681
k121_942206_1,0.148,675
k121_370213_1,1.590,654
k121_1290865_1,3.525,642
k121_42076_1,0.000,639
k121_900900_5,1.667,633
k121_1288254_1,3.465,621
k121_611494_1,4.903,621
k121_479849_1,3.084,606
k121_1282450_2,0.000,597
k121_1092380_2,1.921,597
k121_401896_1,0.000,534
k121_1956670_1,3.286,525
k121_438003_1,0.000,474
k121_1788674_3,1.052,465
k121_796109_1,20.986,360
k121_906279_2,0.000,357
k121_1361241_2,2.025,324
